date,open,high,low,close,volume
2023-07-28,105.11,105.16,102.32,104.16,17571680
2023-07-31,105.19,107.86,105.19,107.24,24200300
2023-08-01,106.95,107.32,105.53,106.62,14212940
2023-08-02,106.26,106.375,104.57,105.29,13489810
2023-08-03,105.89,107.88,105.3,107.12,16283110
2023-08-04,107.96,109.24,107.33,107.42,14279630
2023-08-07,107.9,108.42,106.505,107.2,12410830
2023-08-08,106.04,107.75,104.835,107.73,14065570
2023-08-09,108.71,110.415,108.31,109.56,19919600
2023-08-10,110.19,111.63,109.44,110.12,15837170
2023-08-11,110.37,112.07,110.05,111.83,14047040
2023-08-14,111.68,111.98,110.78,111.92,12973380
2023-08-15,110.745,110.86,107.965,108.16,14909580
2023-08-16,108.28,109.33,106.275,106.34,13695120
2023-08-17,107.42,110.145,107.42,108.4,16709540
2023-08-18,107.64,110.195,107.62,110.04,16223950
2023-08-21,110.36,110.9793,108.1416,108.71,11092380
2023-08-22,109.17,109.72,107.95,108.1,10520840
2023-08-23,107.04,107.3,105.72,107.15,11435550
2023-08-24,106.42,107.765,106.07,106.35,10818480
2023-08-25,107.43,108.93,106.62,108.25,13579300
2023-08-28,108.45,110.04,108.44,109.16,10382120
2023-08-29,109.66,110.02,108.42,109.81,9665010
2023-08-30,110.44,111.14,109.98,110.88,11922060
2023-08-31,111.12,111.4166,110.615,111.19,17479830
2023-09-01,112.2,113.82,112.2,113.52,14843480
2023-09-05,114.1,115.825,113.5,113.53,18304010
2023-09-06,113.48,114.59,113.23,114.51,13325540
2023-09-07,114.65,115.85,113.7,113.95,13248540
2023-09-08,114.53,116.05,114.32,115.61,14286480
2023-09-11,116.18,116.68,113.565,114.16,14383560
2023-09-12,115.34,117.665,115.27,117.49,20145760
2023-09-13,117.41,117.96,115.9,116.44,13472800
2023-09-14,117.55,118.66,117.33,118.52,15210700
2023-09-15,117.9,118.51,116.5,116.7,34568390
2023-09-18,117.53,118.24,116.7,117.64,14045310
2023-09-19,118.62,118.84,116.61,117.33,12569720
2023-09-20,116.54,118.02,116.32,116.4,11883210
2023-09-21,116.98,117.37,114.6,114.76,14409640
2023-09-22,115.705,116.68,114.805,114.94,13200210
2023-09-25,115.09,116.645,114.83,116.23,11316010
2023-09-26,115.5,116.73,115.37,116.41,11805430
2023-09-27,117.89,120.5,117.4,120.2,23976160
2023-09-28,119.98,120.7,118.19,119.47,16808120
2023-09-29,119.1,119.18,116.733,117.58,18813570
2023-10-02,117.53,117.79,114.55,115.63,14395000
2023-10-03,115.44,116.44,115.0341,115.83,13297060
2023-10-04,114.05,114.09,110.5018,111.5,19622230
2023-10-05,109.8,110.9,108.7,108.99,20128780
2023-10-06,105.73,108.27,105.11,107.17,25367470
2023-10-09,110.44,112.07,109.52,110.92,22369890
2023-10-10,111.02,111.45,110.12,110.45,13891950
2023-10-11,106.96,107.17,104.83,106.49,57939020
2023-10-12,107.59,107.84,106.09,106.47,31182960
2023-10-13,108.03,110.2,107.84,109.87,30290330
2023-10-16,110.5,110.68,109.13,109.95,18452000
2023-10-17,109.73,111.8,109.68,111.39,19775440
